City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,broken hill,-31.95,141.4333,98.67,23,69,13.49,AU,1672628767
182,bocana de paiwas,12.7857,-85.1227,69.93,96,9,4.65,NI,1672628768
183,martinez,38.0194,-122.1341,56.5,55,0,3.0,US,1672628768
184,salalah,17.0151,54.0924,75.29,41,0,10.36,OM,1672628768
185,platanos,37.6667,21.6167,50.56,60,0,4.97,GR,1672628769
186,houma,29.5958,-90.7195,69.01,96,100,5.75,US,1672628513
187,yegorlykskaya,46.5656,40.6562,45.66,86,75,21.0,RU,1672628770
188,uribia,11.7139,-72.266,76.62,81,0,9.71,CO,1672628770
189,avarua,-21.2078,-159.775,82.45,89,75,6.91,CK,1672628771
190,airai,-8.9266,125.4092,68.88,77,100,7.2,TL,1672628771
191,codrington,-38.2667,141.9667,70.72,63,17,12.21,AU,1672628771
192,portland,45.5234,-122.6762,41.29,93,88,3.0,US,1672628403
193,leningradskiy,69.3833,178.4167,-32.28,96,50,4.7,RU,1672628772
194,katsuura,35.1333,140.3,49.3,40,20,8.05,JP,1672628613
195,ormara,25.2088,64.6357,66.4,33,6,16.26,PK,1672628772
196,tabou,4.423,-7.3528,76.19,76,0,0.67,CI,1672628773
197,kenai,60.5544,-151.2583,35.1,89,100,18.41,US,1672628773
198,verkhniy uslon,55.7701,48.9823,32.22,99,100,10.22,RU,1672628773
199,alyangula,-13.8483,136.4192,86.7,68,100,17.16,AU,1672628774
200,santa ines,-3.6667,-45.38,72.97,97,81,4.0,BR,1672628559
201,leshukonskoye,64.8989,45.7622,17.76,97,100,2.48,RU,1672628774
202,bambous virieux,-20.3428,57.7575,78.22,83,40,3.44,MU,1672628775
203,watertown,42.3709,-71.1828,43.7,71,100,11.5,US,1672628746
204,astana,51.1801,71.446,19.35,93,100,11.18,KZ,1672628605
205,segezha,63.7415,34.3222,30.38,87,100,18.7,RU,1672628775
206,shahabad,27.65,79.95,52.84,50,0,1.9,IN,1672628776
207,saint-joseph,-21.3667,55.6167,75.58,79,40,0.87,RE,1672628776
208,tiksi,71.6872,128.8694,-24.41,99,99,4.88,RU,1672628776
209,carros,43.7894,7.184,51.73,88,40,8.05,FR,1672628777
210,kaeo,-35.1,173.7833,71.33,70,100,17.49,NZ,1672628777
211,longyearbyen,78.2186,15.6401,31.84,69,75,23.02,SJ,1672628596
212,mitu,1.1983,-70.1733,71.47,97,100,1.32,CO,1672628778
213,zaraza,9.3503,-65.3245,75.43,83,63,7.74,VE,1672628778
214,soyo,-6.1349,12.3689,76.5,86,100,5.66,AO,1672628779
215,lamu,-2.2717,40.902,75.76,82,4,9.37,KE,1672628779
216,coihaique,-45.5752,-72.0662,48.81,96,98,8.48,CL,1672628649
217,namibe,-15.1961,12.1522,72.88,73,100,5.28,AO,1672628780
218,hirara,24.8,125.2833,67.42,78,100,22.03,JP,1672628780
219,mwanza,-2.5167,32.9,67.57,63,25,9.1,TZ,1672628780
220,pangai,-19.8,-174.35,81.59,80,94,16.78,TO,1672628781
221,marawi,7.9986,124.2928,78.13,68,85,5.79,PH,1672628781
222,gouyave,12.1646,-61.7296,75.88,83,15,14.07,GD,1672628781
223,yulara,-25.2406,130.9889,96.71,29,83,17.13,AU,1672628782
224,iquitos,-3.7481,-73.2472,73.44,88,100,8.05,PE,1672628782
225,iqaluit,63.7506,-68.5145,-7.08,97,100,3.56,CA,1672628783
226,laoag,18.1989,120.5936,84.11,74,75,2.3,PH,1672628783
227,glubokiy,48.5217,40.3258,45.41,85,84,15.32,RU,1672628783
228,labuhan,-6.8844,112.2051,83.17,75,100,19.06,ID,1672628784
229,san carlos de bariloche,-41.1456,-71.3082,48.34,57,100,10.18,AR,1672628603
230,mango,27.9797,-82.3065,69.06,84,0,0.0,US,1672628784
231,thompson,55.7435,-97.8558,-12.26,100,43,2.89,CA,1672628683
232,ilulissat,69.2167,-51.1,-3.98,65,100,19.57,GL,1672628785
233,norman wells,65.282,-126.8329,-2.13,94,100,6.64,CA,1672628785
234,byron bay,-28.65,153.6167,80.94,59,1,11.92,AU,1672628786
235,suluq,31.6682,20.2521,53.31,85,0,7.92,LY,1672628786
236,port hedland,-20.3167,118.5667,93.25,52,100,10.36,AU,1672628559
237,coquimbo,-29.9533,-71.3436,64.92,82,12,1.7,CL,1672628597
238,whakatane,-37.9585,176.9854,71.89,73,100,5.99,NZ,1672628787
239,capoterra,39.1763,8.9718,55.53,93,0,2.3,IT,1672628787
240,port pirie,-33.1833,138.0167,83.46,42,0,16.89,AU,1672628788
241,jucas,-6.5253,-39.5275,77.77,59,100,2.17,BR,1672628788
242,harlingen,26.1906,-97.6961,73.06,98,40,11.5,US,1672628303
243,ewa beach,21.3156,-158.0072,78.75,69,100,10.36,US,1672628788
244,cabedelo,-6.9811,-34.8339,79.47,84,86,9.57,BR,1672628789
245,husavik,66.0449,-17.3389,22.77,76,100,18.95,IS,1672628789
246,esperance,-33.8667,121.9,67.59,55,15,12.84,AU,1672628789
247,svetlyy,54.675,20.1347,46.45,92,100,7.47,RU,1672628790
248,kargasok,59.0556,80.8572,-10.73,97,100,1.52,RU,1672628790
249,polewali,-3.4324,119.3435,87.03,54,100,3.58,ID,1672628791
250,geraldton,-28.7667,114.6,90.01,25,0,19.57,AU,1672628791
251,rafai,4.95,23.9167,68.04,46,0,3.65,CF,1672628791
252,chumikan,54.7183,135.315,-14.33,80,39,22.84,RU,1672628792
253,grand gaube,-20.0064,57.6608,78.39,74,24,2.42,MU,1672628640
254,muncar,-8.4333,114.3333,86.13,65,79,2.17,ID,1672628792
255,imbituba,-28.24,-48.6703,72.63,96,38,11.97,BR,1672628793
256,mossendjo,-2.9506,12.7261,69.04,99,100,1.92,CG,1672628793
257,talara,-4.5772,-81.2719,70.56,73,0,14.97,PE,1672628793
258,lata,40.1629,-8.3327,48.33,87,60,3.0,PT,1672628794
259,matara,5.9485,80.5353,76.24,78,100,5.03,LK,1672628575
260,wad madani,14.4012,33.5199,69.6,23,51,13.49,SD,1672628794
261,benalla,-36.55,145.9833,84.58,45,100,8.59,AU,1672628795
